Title,Age Rating,Player Count,Type of Game,Length of Game,Subjects,Tags
A Little Wordy,10+,2,Word Game,20-30 min,"Vocabulary, Spelling","two-player, letter tiles, clue giving, Exploding Kittens, travel friendly"
A Midsummer Night's Fayre,8+,2-5,Dice Game,30 min,,"fairy tale, press-your-luck, Gamewright, fantasy, family"
Apples to Apples Junior,9+,4-8,Party Card Game,30 min,Vocabulary,"comparison game, crazy combinations, family friendly, large groups, Mattel"
Bananagrams,7+,1-8,Word Tile Game,15 min,"Spelling, Vocabulary","anagram race, banana pouch, no board, solo playable, travel friendly. (Two copies on hand.) My First Bananagrams also on hand as a separate entry."
Beez,8+,2-4,Abstract Strategy Game,30-45 min,"Bees, Pollination","nature theme, hex grid, pattern building, Next Move / Plan B, gorgeous components"
Blah Blah Blah Card Game (Mrs Wordsmith Phonics),,,Word Game,,"Phonics, Early Reading","200+ words, decoding practice, DK / Mrs Wordsmith, early literacy"
Brandon the Brave,5+,2-4,Tile-Laying Game,10 min,,"knights and dragons, triangular field tiles, task cards, HABA, wooden components, quick play"
Brilliant,8+,1-6,Roll-and-Write Game,20-30 min,"Number Placement, Probability","twelve-sided dice, gem grid, Ralf zur Linde, Ravensburger, solo playable"
Cards Against Humanity,17+,4-20+,Party Card Game,30-90 min,,"adult humor, fill-in-the-blank, judging round, large groups, not for kids"
Cascadia Junior,6+,1-4,Family Strategy Game,20 min,"Habitats, Wildlife","tile laying, Pacific Northwest animals, simplified Cascadia, AEG / Flatout Games, Beth Sobel art"
Cat Crimes,8+,1+,Logic Puzzle Game,20 min,Deductive Logic,"40 puzzles beginner to expert, solo playable, ThinkFun, single-player logic grid"
Catan Junior,6+,2-4,Family Strategy Game,30 min,"Resource Trading, Counting","pirate lairs and ships, simplified Catan, Ghost Captain, Kosmos, gateway for young players, stored loose in a zip bag (box removed)"
Cathedral: Magnetic Travel Edition,8+,2,Abstract Strategy Game,20-30 min,Spatial Reasoning,"wooden pieces, magnetic travel set, area control, two-player abstract, medieval city theme"
Cauldron Quest,6+,2-4,Cooperative Board Game,20 min,Teamwork,"Peaceable Kingdom, cooperative, magic theme, potion quest, young players"
Chess,6+,2,Abstract Strategy Game,30-60 min,"Strategy, Logic, Spatial Reasoning","classic, two-player, perfect information, no luck, endlessly deep, traditional game"
Clue: Classic Detective Game,8+,3-6,Deduction Board Game,45 min,"Logic, Deduction","whodunit, classic, Hasbro, note-taking deduction, retro edition"
Codenames,10+,2-8,Word Association / Team Game,15-30 min,"Vocabulary, Word Association","spymaster clues, grid of code words, Vlaada Chvatil, Czech Games Edition, modern classic"
Codenames: Harry Potter,11+,2-8,Word Association / Team Game,15-30 min,Word Association,"Wizarding World theme, spymaster clues, USAopoly, fan tie-in"
Codenames: Pictures,10+,2-8,Word Association / Team Game,15-30 min,Visual Association,"surreal picture grid, spymaster clues, Czech Games Edition, works with non-readers"
Cytosis: A Cell Biology Game,10+,2-5,Educational Board Game,60 min,"Cell Biology, Science","worker placement, organelles and enzymes, Genius Games, high school biology, homeschool science"
Dixit,8+,3-8,Party Game / Storytelling,30 min,"Creative Language, Inference","surreal illustrations, storytelling, bluffing, Libellud, large groups"
Double-Six Dominoes,8+,2-4,Tile Game,20-30 min,"Number Matching, Counting","classic dominoes set, Game Gallery, family friendly, many variant games"
Dragonrealm: A Game of Goblins & Gold,10+,2-5,Dice Game,30 min,,"press-your-luck, fantasy, goblins, Gamewright, treasure collecting"
Escape from the Aquarium,8-12,1-6,Escape Room Game,60 min,Puzzle Solving,"Professor Puzzle, at-home escape room, cooperative, single-use puzzles, ocean theme"
Everdell,13+,1-4,Strategy Board Game,40-80 min,,"worker placement, tableau building, woodland creatures, solo mode, Starling Games"
Exploding Kittens: Original Edition,7+,2-5,Party Card Game,15 min,,"take-that, defuse cards, most-backed Kickstarter, quick play. (Party Pack edition also on hand as a separate entry.)"
Exploding Kittens: Party Pack,7+,2-10,Party Card Game,15 min,,"large group version, take-that, defuse cards, Exploding Kittens, quick play. (Original Edition also on hand as a separate entry.)"
Flamecraft,10+,1-5,Strategy Board Game,60 min,,"worker placement, artisan dragons, cozy fantasy, Lucky Duck Games, Sandara Tang art"
