Title,Author,Genre,Subject,Summary
100 Bugs!: A Counting Book,Kate Narita (illustrated by Suzanne Kaufman),Children's Picture Book,"Counting, Skip Counting, Insects","Two children spend a summer day roaming fields and gardens finding bugs in groups of ten, adding their way to 100 in rhyming verse while introducing damselflies, walking sticks, katydids and other real insects."
1001 Bugs to Spot,Emma Helbrough (Usborne),Children's Search-and-Find,"Insects, Counting",Busy insect-filled scenes with a thousand and one bugs to hunt down and count.
1001 Pirate Things to Spot,"Rob Lloyd Jones (illustrated by Teri Gower, Usborne)",Children's Search-and-Find,"Pirates, Counting","Pirate ports, ships and treasure islands crowded with things to find."
1001 Things to Spot in the Sea,Katie Daynes (Usborne),Children's Search-and-Find,"Ocean, Marine Life, Counting",Undersea scenes packed with creatures and objects to search out and tally.
101 Awesome Women Who Changed Our World,Julia Adams (illustrated by Louise Wright),Children's Nonfiction / Biography,"Women's History, Biography","Short illustrated profiles of 101 women whose work reshaped science, politics, art, sport and society."
11 Experiments That Failed,Jenny Offill (illustrated by Nancy Carpenter),Children's Picture Book,"Science, Humor, Experiments",A young scientist runs eleven rigorously documented and entirely disastrous household experiments.
1984,George Orwell,Dystopian Fiction,"Totalitarianism, Surveillance, Language","Winston Smith rewrites history for the Party and tries, briefly, to think and love outside its reach. Orwell's 1949 novel of total surveillance."
200 Bird Songs from Around the World,Les Beletsky,Illustrated Nonfiction / Audio Book,"Birdsong, Ornithology, World Birds","Two hundred bird species from six continents, each with a painted portrait, a short description, and a recording playable on the book's built-in audio player. Audio from the Macaulay Library at the Cornell Lab of Ornithology."
"437 Edible Wild Plants of the Rocky Mountain West: Berries, Roots, Nuts, Greens, Flowers, and Seeds",Caleb Warnock,Field Guide,"Foraging, Edible Plants, Rocky Mountain West","A regional foraging reference covering hundreds of edible wild berries, roots, nuts, greens, flowers, and seeds of the Rocky Mountain West, with notes on identification and use."
50 Adventures in the 50 States,Kate Siber (illustrated by Chris Turnham),Children's Nonfiction,"US Geography, Outdoor Adventure",One outdoor adventure for every state — from kayaking to caving to dogsledding — with illustrated scenes and practical detail about each place.
59 Illustrated National Parks,Joel Anderson & Nathan Anderson,Illustrated Nonfiction / Art,"National Parks, Poster Art",Vintage-style illustrated posters for each US national park with notes on what makes each one distinct. Expanded edition.
A Big Guy Took My Ball!,Mo Willems,Children's Early Reader (Elephant & Piggie series),"Fairness, Size, Perspective","Piggie's big ball is snatched by a much bigger whale, and Gerald storms off to help — only to find the story looks different from the big guy's side."
A Brief History of the Vikings,Jonathan Clements,Nonfiction / History,"Vikings, Scandinavia, Raids and Settlement",A compact narrative history of the Norse from the first raids through settlement and the end of the Viking age.
A Child Through Time,Phil Wilkinson,Children's Nonfiction,"World History, Childhood","The history of the world told through the daily lives of thirty children, from the Stone Age to World War II, each with their own illustrated profile."
A Child's Introduction to African American History,Jabari Asim (illustrated by Lynn Gaines),Children's Nonfiction,African American History,"A survey of African American history from its African roots through slavery, emancipation, the civil rights era and the present, with profiles and activities."
A Child's Introduction to Art,Heather Alexander,Children's Nonfiction / Art History,"Art History, Artists","An illustrated survey of great artists and movements, with activities and close looks at famous paintings."
A Child's Introduction to the Night Sky,Michael Driscoll (illustrated by Meredith Hamilton),Children's Nonfiction,"Astronomy, Constellations","An illustrated beginner's guide to stars, planets and constellations, with the myths behind them and tips for observing."
A Child's Seasonal Treasury,Betty Jones,Anthology / Waldorf Curriculum,"Seasons, Songs, Verses, Crafts","A year's worth of songs, verses, finger plays, recipes and crafts arranged by season, from the Waldorf Early Childhood Association of North America."
A Christmas Carol,Charles Dickens,Illustrated Classic,"Christmas, Redemption, Victorian England",Scrooge is visited by three spirits in a single night. A vintage cloth-bound edition.
A City Through Time,Philip Steele (illustrated by Steve Noon),Children's Nonfiction,"History, Urban Development","Detailed cutaway illustrations show one city site evolving from a Greek settlement through Roman, medieval and industrial eras to a modern metropolis."
A Clash of Kings,George R.R. Martin,Fantasy,"Westeros, Civil War, Dynasty",Five kings contest the Iron Throne while a comet burns overhead. Second of A Song of Ice and Fire.
A Court of Frost and Starlight,Sarah J. Maas,Fantasy / Romance,"Faeries, Winter Solstice, Aftermath",A shorter interlude following the Night Court through the first winter solstice after the war. Bridges the main series and A Court of Silver Flames.
A Court of Mist and Fury,Sarah J. Maas,Fantasy / Romance,"Faeries, Romance, Courts",Feyre struggles with the aftermath of the trials Under the Mountain and is drawn into the Night Court's bargain. Second in the A Court of Thorns and Roses series.
A Court of Silver Flames,Sarah J. Maas,Fantasy / Romance,"Faeries, Trauma, Romance","Nesta Archeron is sent to the House of Wind to train, and has to face what the war made of her. The series turns to Feyre's sister as protagonist."
A Court of Thorns and Roses,Sarah J. Maas,Fantasy / Romance,"Faeries, Romance, Beauty and the Beast",A huntress kills a faerie wolf and is taken across the wall into the faerie lands as payment. First book of Maas's bestselling romantasy series.
A Court of Wings and Ruin,Sarah J. Maas,Fantasy / Romance,"Faeries, War, Courts",Feyre returns to the Spring Court as a spy while the faerie courts brace for invasion. Third in the A Court of Thorns and Roses series.
A Dance with Dragons,George R.R. Martin,Fantasy,"Westeros, Meereen, Dragons","Runs in parallel with A Feast for Crows, following Jon at the Wall, Tyrion in exile, and Daenerys in Meereen. Fifth of A Song of Ice and Fire. (Two copies on hand: one in the boxed set, one separate hardcover.)"
